,60_characteristics_us,70_characteristics_us,80_characteristics_us,90_characteristics_us
count,391,391,391,391
annual return mean,0.3035741456607679,0.3186202329791292,0.3223686138515436,0.3291151814925073
annual return std,0.23998999391873577,0.19646630994246284,0.20826012988539055,0.21213476922475816
cumulative return,564194.9200540718,820065.2699810711,899542.6308304993,1061796.0153527935
Shrape Ratio,1.2649450116806231,1.6217550636159472,1.5479132469039996,1.5514438424933898
t-statistic,-1.5767430085488487,-0.7177366238585127,-0.4487561076199523,0.0
Down std,0.07807339740699537,0.06164529844751798,0.07995110993986732,0.0793420435924943
Sortino Ratio,3.260036890821516,5.3851654807952585,3.0914087582003456,4.069079642808216
Gross profit,11.307423735569758,11.153386191694441,11.635801160520073,11.47447827296729
Gross loss,-2.6692616198490553,-2.1412952299929198,-2.531218459912606,-2.2040818969456692
Profit Factor,4.236161660395501,5.208710146770056,4.596916996615857,5.206012666257172
Profitable years,30,31,30,30
Unprofitable years,3,2,3,3
Maximum Drawdown,-0.26110764705737743,-0.2738001975647954,-0.1993746572917785,-0.15735669105250968
Calmar Ratio,1.1258790693934593,0.7134118742490662,0.3308770177553582,0.420203895324401
Mean,0.022092486229464716,0.02304882598900644,0.02328537775091424,0.023709453647114114
Standard deviation,0.06209497701338628,0.051780372149880405,0.05461197062258152,0.05553621070312742
Standard error,0.0031443013859805825,0.0026220010659213297,0.0027653846281752497,0.002812185343885521
t-statistic,6.428934780042223,7.364061255186273,8.379616537934226,6.69961219474841
Min,-0.14963293300797534,-0.10527479388083487,-0.21578701647919618,-0.12770640594149762
25%,-0.005881006294742518,-0.004785469156906837,-0.004179518773887822,-0.0004996872239143235
50%,0.012864610917016222,0.011873602971168526,0.016089857936316863,0.014435642986391505
75%,0.033978771418067336,0.03601194735250587,0.037253168776520296,0.03608775219800025
Max,0.6740365741498464,0.43702486001221297,0.4518070979777107,0.48052649486219506
Skew,4.477368016026698,3.059544008724647,2.4253081478496616,3.2344151245369717
Kurtosis,37.59597853089436,16.906963119370925,15.529128629747467,18.50103973904471
